Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2021,round4,Game7,North Melbourne,68,Docklands,Docklands,VIC,18
2021,round4,Game8,Melbourne,85,MCG,MCG,VIC,3
2021,round4,Game9,Fremantle,96,Perth Stadium,Perth Stadium,WA,15
2021,round5,Game1,St. Kilda,,Docklands,Docklands,VIC,
2021,round5,Game2,West Coast,,Perth Stadium,Perth Stadium,WA,
2021,round5,Game3,Western Bulldogs,,Docklands,Docklands,VIC,
2021,round5,Game4,Sydney,,SCG,SCG,NSW,
2021,round5,Game5,Carlton,,MCG,MCG,VIC,
2021,round5,Game6,Brisbane,,Gabba,Gabba,QLD,
2021,round5,Game7,Adelaide,,Adelaide Oval,Adelaide Oval,SA,
2021,round5,Game8,Hawthorn,,MCG,MCG,VIC,
2021,round5,Game9,Geelong,,Kardinia Park,Kardinia Park,VIC,
2021,round6,Game1,Greater Western Sydney,,Manuka Oval,Sydney Showground,NSW,
2021,round6,Game2,Geelong,,Kardinia Park,Kardinia Park,VIC,
2021,round6,Game3,Gold Coast,,Metricon,Metricon,QLD,
2021,round6,Game4,Carlton,,Docklands,MCG,VIC,
2021,round6,Game5,Melbourne,,MCG,MCG,VIC,
2021,round6,Game6,Fremantle,,Perth Stadium,SCG,WA,
2021,round6,Game7,Hawthorn,,University of Tasmania Stadium,MCG,VIC,
2021,round6,Game8,Collingwood,,MCG,MCG,VIC,
2021,round6,Game9,Port Adelaide,,Adelaide Oval,Adelaide Oval,SA,
2021,round7,Game1,,,,,,
2021,round7,Game2,,,,,,
2021,round7,Game3,,,,,,
2021,round7,Game4,,,,,,
2021,round7,Game5,,,,,,
2021,round7,Game6,,,,,,
2021,round7,Game7,,,,,,
2021,round7,Game8,,,,,,
2021,round7,Game9,,,,,,
2021,round8,Game1,,,,,,
2021,round8,Game2,,,,,,
2021,round8,Game3,,,,,,
2021,round8,Game4,,,,,,
2021,round8,Game5,,,,,,
2021,round8,Game6,,,,,,
2021,round8,Game7,,,,,,
2021,round8,Game8,,,,,,
2021,round8,Game9,,,,,,
2021,round9,Game1,,,,,,
2021,round9,Game2,,,,,,
2021,round9,Game3,,,,,,
2021,round9,Game4,,,,,,
2021,round9,Game5,,,,,,
2021,round9,Game6,,,,,,
2021,round9,Game7,,,,,,
2021,round9,Game8,,,,,,
2021,round9,Game9,,,,,,
2021,round10,0Game1,,,,,,
2021,round10,0Game2,,,,,,
2021,round10,0Game3,,,,,,
2021,round10,0Game4,,,,,,
2021,round10,0Game5,,,,,,
2021,round10,0Game6,,,,,,
2021,round10,0Game7,,,,,,
2021,round10,0Game8,,,,,,
2021,round10,0Game9,,,,,,
2021,round11,1Game1,,,,,,
2021,round11,1Game2,,,,,,
2021,round11,1Game3,,,,,,
2021,round11,1Game4,,,,,,
2021,round11,1Game5,,,,,,
2021,round11,1Game6,,,,,,
2021,round11,1Game7,,,,,,
2021,round11,1Game8,,,,,,
2021,round11,1Game9,,,,,,
2021,round12,2Game1,,,,,,
2021,round12,2Game2,,,,,,
2021,round12,2Game3,,,,,,
2021,round12,2Game4,,,,,,
2021,round12,2Game5,,,,,,
2021,round12,2Game6,,,,,,
2021,round13,3Game1,,,,,,
2021,round13,3Game2,,,,,,
2021,round13,3Game3,,,,,,
2021,round13,3Game4,,,,,,
2021,round13,3Game5,,,,,,
2021,round13,3Game6,,,,,,
2021,round14,4Game1,,,,,,
2021,round14,4Game2,,,,,,
2021,round14,4Game3,,,,,,
2021,round14,4Game4,,,,,,
2021,round14,4Game5,,,,,,
2021,round14,4Game6,,,,,,
2021,round15,5Game1,,,,,,
2021,round15,5Game2,,,,,,
2021,round15,5Game3,,,,,,
2021,round15,5Game4,,,,,,
2021,round15,5Game5,,,,,,
2021,round15,5Game6,,,,,,
2021,round15,5Game7,,,,,,
2021,round15,5Game8,,,,,,
2021,round15,5Game9,,,,,,
2021,round16,6Game1,,,,,,
2021,round16,6Game2,,,,,,
2021,round16,6Game3,,,,,,
2021,round16,6Game4,,,,,,
2021,round16,6Game5,,,,,,
2021,round16,6Game6,,,,,,
2021,round16,6Game7,,,,,,
2021,round16,6Game8,,,,,,
2021,round16,6Game9,,,,,,
2021,round17,7Game1,,,,,,
2021,round17,7Game2,,,,,,
2021,round17,7Game3,,,,,,
2021,round17,7Game4,,,,,,
2021,round17,7Game5,,,,,,
2021,round17,7Game6,,,,,,
2021,round17,7Game7,,,,,,
2021,round17,7Game8,,,,,,
2021,round17,7Game9,,,,,,
2021,round18,8Game1,,,,,,
2021,round18,8Game2,,,,,,
2021,round18,8Game3,,,,,,
2021,round18,8Game4,,,,,,
2021,round18,8Game5,,,,,,
2021,round18,8Game6,,,,,,
2021,round18,8Game7,,,,,,
2021,round18,8Game8,,,,,,
2021,round18,8Game9,,,,,,
2021,round19,9Game1,,,,,,
2021,round19,9Game2,,,,,,
2021,round19,9Game3,,,,,,
2021,round19,9Game4,,,,,,
2021,round19,9Game5,,,,,,
2021,round19,9Game6,,,,,,
2021,round19,9Game7,,,,,,
2021,round19,9Game8,,,,,,
2021,round19,9Game9,,,,,,
2021,round20,0Game1,,,,,,
2021,round20,0Game2,,,,,,
2021,round20,0Game3,,,,,,
2021,round20,0Game4,,,,,,
2021,round20,0Game5,,,,,,
2021,round20,0Game6,,,,,,
2021,round20,0Game7,,,,,,
2021,round20,0Game8,,,,,,
2021,round20,0Game9,,,,,,
2021,round21,1Game1,,,,,,
2021,round21,1Game2,,,,,,
2021,round21,1Game3,,,,,,
2021,round21,1Game4,,,,,,
2021,round21,1Game5,,,,,,
2021,round21,1Game6,,,,,,
2021,round21,1Game7,,,,,,
2021,round21,1Game8,,,,,,
2021,round21,1Game9,,,,,,
2021,round22,2Game1,,,,,,
2021,round22,2Game2,,,,,,
2021,round22,2Game3,,,,,,
2021,round22,2Game4,,,,,,
2021,round22,2Game5,,,,,,
2021,round22,2Game6,,,,,,
2021,round22,2Game7,,,,,,
2021,round22,2Game8,,,,,,
2021,round22,2Game9,,,,,,
2021,round23,3Game1,,,,,,
2021,round23,3Game2,,,,,,
2021,round23,3Game3,,,,,,
2021,round23,3Game4,,,,,,
2021,round23,3Game5,,,,,,
2021,round23,3Game6,,,,,,
2021,round23,3Game7,,,,,,
2021,round23,3Game8,,,,,,
2021,round23,3Game9,,,,,,
